./,key value
0, C major
1, C major
2, C major
3, C major
4, C major
5, a minor
6, a minor
7, F major
8, F major
9, F major
10, F major
11, F major
12, F major
13, F major
14, F major
15, F major
16, F major
17, F major
18, F major
19, e minor
20, e minor
21, e minor
22, a minor
23, G major
24, G major
25, G major
26, G major
27, G major
28, G major
29, G major
30, G major
31, G major
32, G major
33, G major
34, G major
35, G major
36, G major
37, G major
38, G major
39, G major
40, G major
41, G major
42, G major
43, G major
44, G major
45, G major
46, G major
47, G major
48, G major
49, G major
50, G major
51, G major
52, G major
53, G major
54, G major
55, G major
56, G major
57, G major
58, G major
59, G major
60, G major
61, G major
62, G major
63, G major
64, G major
65, G major
66, G major
67, G major
68, G major
69, G major
70, G major
71, G major
