../data/MOzart5/Mozart5,data
0," [[0.67, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]]"
1," [[0.33, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]]"
2," [[0.0, 0.0, 0.33, 0.0, 0.0, 0.67, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
3," [[0.0, 0.0, 0.33, 0.0, 0.0, 0.17, 0.0, 0.33, 0.0, 0.0, 0.0, 0.17]]"
4," [[0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0], [0.17, 0.0, 0.08, 0.0, 0.42, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]]"
5," [[0.04, 0.0, 0.04, 0.0, 0.0, 0.38, 0.0, 0.33, 0.0, 0.0, 0.0, 0.21]]"
6," [[0.17, 0.0, 0.17, 0.0, 0.33, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0], [0.17, 0.0, 0.08, 0.0, 0.42, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]]"
7," [[0.04, 0.0, 0.04, 0.0, 0.0, 0.38, 0.0, 0.33, 0.0, 0.0, 0.0, 0.21]]"
8," [[0.31, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.06, 0.0, 0.12], [0.42, 0.0, 0.17, 0.0, 0.08, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]]"
9," [[0.12, 0.0, 0.12, 0.0, 0.41, 0.06, 0.0, 0.28, 0.0, 0.0, 0.0, 0.0]]"
10," [[0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0]]"
11," [[0.29, 0.0, 0.17, 0.0, 0.17, 0.17, 0.0, 0.04, 0.0, 0.0, 0.0, 0.17]]"
12," [[0.0, 0.0, 0.33, 0.0, 0.11, 0.44, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0], [0.11, 0.0, 0.0, 0.0, 0.0, 0.11, 0.0, 0.44, 0.0, 0.11, 0.0, 0.22]]"
13," [[0.45, 0.0, 0.09, 0.0, 0.27, 0.0, 0.0, 0.09, 0.0, 0.0, 0.0, 0.09]]"
14," [[0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0]]"
15," [[0.29, 0.0, 0.17, 0.0, 0.17, 0.17, 0.0, 0.04, 0.0, 0.0, 0.0, 0.17]]"
16," [[0.0, 0.0, 0.33, 0.0, 0.11, 0.44, 0.0, 0.0, 0.0, 0.11, 0.0, 0.0], [0.11, 0.0, 0.0, 0.0, 0.0, 0.11, 0.0, 0.44, 0.0, 0.11, 0.0, 0.22]]"
17," [[0.53, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.16, 0.0, 0.0, 0.0, 0.0]]"
18," [[0.25, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.0, 0.0, 0.17, 0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.17]]"
19," [[0.56, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.0]]"
20," [[0.25, 0.0, 0.0, 0.0, 0.12, 0.12, 0.0, 0.38, 0.0, 0.0, 0.0, 0.12]]"
21," [[0.62, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0]]"
