../data/Mozart1/Mozart1.musi,data
0," [[0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]]"
1," [[0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]]"
2," [[0.82, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18]]"
3," [[0.0, 0.23, 0.77, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
4," [[0.0, 0.0, 0.0, 0.21, 0.79, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
5," [[0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.25, 0.0, 0.25]]"
6," [[0.88, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.02, 0.0, 0.05, 0.0, 0.02]]"
7," [[0.6, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.17, 0.0, 0.17, 0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0], [0.65, 0.0, 0.05, 0.0, 0.17, 0.05, 0.0, 0.05, 0.0, 0.03, 0.0, 0.0]]"
8," [[0.47, 0.0, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0], [0.57, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.29, 0.0, 0.0], [0.63, 0.0, 0.05, 0.0, 0.0, 0.05, 0.0, 0.11, 0.0, 0.05, 0.0, 0.11]]"
9," [[0.54, 0.0, 0.0, 0.0, 0.23, 0.0, 0.0, 0.23, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.17, 0.0, 0.17, 0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0], [0.69, 0.0, 0.05, 0.0, 0.14, 0.0, 0.03, 0.03, 0.0, 0.0, 0.0, 0.05]]"
10," [[0.0, 0.0, 0.46, 0.0, 0.0, 0.17, 0.0, 0.19, 0.0, 0.0, 0.0, 0.18], [0.0, 0.0, 0.14, 0.0, 0.0, 0.14, 0.0, 0.43, 0.0, 0.0, 0.0, 0.29], [0.0, 0.0, 0.3, 0.0, 0.0, 0.29, 0.0, 0.25, 0.0, 0.0, 0.0, 0.16]]"
