bar number1;[2, 0, 1, 0, 1, 0, 0, 0];I;;;
bar number2;[2, 0, 1, 0, 1, 0, 0, 0];I;;;
bar number3;[2, 0, 0, 0, 0, 0, 1, 0];I;;;
bar number4;[0, 3, 0, 0, 0, 0, 0, 0];;;;
bar number5;[0, 0, 3, 0, 0, 0, 0, 0];;;;
bar number6;[0, 0, 0, 1, 1, 1, 1, 0];;;;
bar number7;[3, 0, 0, 1, 1, 1, 1, 0];I;;;
bar number8;[3, 1, 1, 1, 1, 1, 0, 0];I;;;
bar number9;[3, 1, 1, 1, 1, 1, 1, 0];IV;;;
bar number10;[3, 1, 1, 1, 1, 0, 1, 0];I;;;
bar number11;[0, 3, 0, 2, 2, 0, 1, 0];V;;;
bar number12;[3, 1, 3, 0, 1, 0, 1, 0];I;;;
bar number13;[1, 2, 1, 2, 2, 1, 1, 0];II;;;
bar number14;[1, 1, 1, 1, 1, 1, 1, 0];I;;;
bar number15;[0, 3, 0, 2, 2, 0, 1, 0];V;;;
bar number16;[3, 0, 3, 0, 1, 1, 0, 0];I;VI;;
bar number17;[2, 1, 1, 2, 1, 2, 1, 0];IV;X;IV;X
bar number18;[2, 2, 2, 1, 3, 0, 1, 0];V;I;;
bar number19;[2, 2, 2, 1, 2, 0, 1, 0];V;I;;
bar number20;[0, 1, 0, 0, 3, 0, 1, 0];V;;;
bar number21;[3, 0, 1, 0, 1, 0, 0, 0];I;;;
bar number22;[0, 1, 0, 1, 2, 1, 0, 0];V;;;
bar number23;[2, 1, 2, 1, 1, 1, 1, 0];I ;;;
bar number24;[1, 1, 1, 1, 1, 1, 1, 0];V;;;
bar number25;[2, 1, 2, 1, 1, 1, 1, 0];I;;;
bar number26;[1, 1, 1, 1, 1, 1, 1, 0];V;;;
bar number27;[3, 1, 1, 1, 1, 1, 0, 0];X;;;
bar number28;[3, 1, 1, 1, 1, 2, 0, 0];;;;
bar number29;[3, 1, 2, 1, 2, 1, 1, 0];;;;
bar number30;[0, 0, 0, 1, 0, 1, 1, 1];;;;
bar number31;[0, 1, 1, 1, 1, 1, 0, 0];;;;
bar number32;[1, 1, 3, 1, 3, 1, 1, 0];V;;;
bar number33;[2, 1, 2, 1, 3, 1, 1, 0];V;;;
bar number34;[2, 1, 1, 1, 1, 1, 1, 0];I;V;;
bar number35;[1, 1, 2, 1, 2, 0, 0, 0];V;;;
bar number36;[1, 1, 2, 1, 2, 1, 1, 0];V;I;V;
bar number37;[1, 2, 2, 1, 2, 1, 1, 0];I;V;IV;V
bar number38;[2, 1, 1, 1, 1, 1, 1, 0];I;II;;
bar number39;[2, 1, 2, 1, 3, 1, 1, 0];V;V;;
bar number40;[3, 0, 2, 0, 1, 1, 1, 0];I;;;
bar number41;[2, 0, 3, 0, 2, 1, 1, 0];I;;;
bar number42;[2, 0, 1, 0, 0, 1, 1, 0];I;;;
bar number43;[0, 1, 1, 1, 2, 0, 0, 0];V;;;
bar number44;[2, 0, 1, 0, 1, 0, 0, 0];I;;;
bar number45;[2, 0, 1, 0, 1, 0, 0, 0];;;;
bar number46;[3, 0, 0, 0, 0, 0, 1, 0];;;;
bar number47;[0, 3, 0, 0, 0, 0, 0, 0];;;;
bar number48;[0, 0, 3, 0, 0, 0, 0, 0];;;;
bar number49;[0, 0, 0, 1, 1, 1, 1, 0];;;;
bar number50;[2, 1, 1, 0, 1, 0, 1, 0];I;;;
bar number51;[1, 1, 1, 1, 2, 1, 1, 0];V;;;
bar number52;[2, 1, 1, 0, 1, 0, 1, 0];I;;;
bar number53;[1, 1, 1, 1, 2, 1, 1, 0];V;;;
bar number54;[2, 1, 1, 1, 1, 1, 1, 0];I;;;
bar number55;[2, 1, 1, 1, 1, 1, 1, 0];IV;;;
bar number56;[2, 1, 1, 1, 1, 1, 1, 0];I;;;
bar number57;[1, 1, 1, 1, 2, 1, 1, 0];II;V;V;
bar number58;[1, 1, 1, 1, 1, 1, 1, 0];I;;;
bar number59;[2, 1, 1, 1, 1, 1, 1, 0];IV;;;
bar number60;[2, 1, 1, 1, 1, 1, 1, 0];I;;;
bar number61;[1, 1, 1, 1, 3, 0, 1, 0];V;V;;
bar number62;[1, 1, 1, 0, 1, 1, 1, 0];I;VI;;
bar number63;[1, 1, 1, 2, 1, 1, 1, 0];IV;;;
bar number64;[1, 1, 1, 1, 2, 1, 1, 0];;;;
bar number65;[1, 1, 1, 1, 1, 1, 1, 0];;;;
bar number66;[0, 1, 0, 0, 2, 0, 1, 0];;;;
bar number67;[0, 1, 0, 0, 2, 0, 1, 0];;;;
bar number68;[1, 1, 0, 0, 1, 1, 1, 0];;;;
bar number69;[0, 1, 1, 0, 1, 1, 1, 0];;;;
bar number70;[1, 0, 2, 0, 1, 0, 0, 0];;;;
bar number71;[1, 1, 1, 0, 1, 1, 1, 0];;;;
bar number72;[0, 1, 0, 0, 1, 0, 1, 0];;;;
bar number73;[1, 2, 1, 0, 1, 1, 1, 0];;;;
bar number74;[1, 0, 2, 0, 1, 0, 0, 0];;;;
bar number75;[1, 1, 1, 0, 1, 1, 1, 0];;;;
bar number76;[1, 1, 1, 0, 2, 1, 1, 0];;;;
bar number77;[1, 0, 2, 0, 1, 1, 1, 0];;;;
bar number78;[1, 1, 0, 0, 0, 1, 0, 0];;;;
bar number79;[1, 1, 0, 0, 0, 1, 0, 0];;;;
bar number80;[1, 1, 0, 0, 1, 1, 1, 0];;;;
bar number81;[1, 1, 0, 0, 1, 1, 1, 0];;;;
bar number82;[1, 1, 0, 0, 0, 1, 1, 0];;;;
bar number83;[1, 1, 1, 0, 1, 1, 1, 0];;;;
bar number84;[1, 1, 0, 0, 1, 1, 1, 0];;;;
bar number85;[1, 1, 0, 0, 1, 1, 1, 0];;;;
bar number86;[1, 2, 0, 0, 2, 1, 1, 0];;;;
bar number87;[1, 3, 0, 0, 2, 1, 1, 0];;;;
bar number88;[0, 3, 0, 0, 0, 1, 0, 0];;;;
bar number89;[0, 1, 0, 0, 3, 0, 1, 0];;;;
bar number90;[1, 2, 1, 0, 0, 2, 0, 0];;;;
bar number91;[1, 1, 1, 0, 1, 1, 1, 0];;;;
bar number92;[1, 1, 1, 0, 1, 2, 1, 0];;;;
bar number93;[1, 1, 1, 0, 2, 1, 2, 0];;;;
bar number94;[1, 1, 1, 0, 1, 2, 1, 0];;;;
bar number95;[1, 1, 1, 1, 2, 1, 1, 0];V;;;
bar number96;[1, 1, 1, 1, 2, 1, 1, 0];V;;;
bar number97;[1, 1, 1, 1, 2, 0, 1, 0];V;;;
bar number98;[1, 1, 1, 0, 2, 0, 1, 0];I;V;;
bar number99;[1, 1, 1, 0, 2, 0, 1, 0];I;V;;
bar number100;[1, 1, 1, 0, 1, 2, 1, 0];;;;
bar number101;[1, 1, 1, 0, 2, 1, 1, 0];;;;
bar number102;[2, 1, 1, 0, 1, 1, 1, 0];;;;
bar number103;[1, 2, 1, 0, 1, 1, 1, 0];;;;
bar number104;[2, 1, 1, 0, 1, 1, 1, 0];;;;
bar number105;[1, 1, 1, 0, 2, 1, 1, 0];;;;
bar number106;[2, 1, 1, 0, 1, 1, 1, 0];;;;
bar number107;[1, 1, 1, 0, 1, 1, 1, 0];;;;
bar number108;[1, 2, 0, 0, 1, 1, 2, 0];;;;
bar number109;[1, 1, 0, 0, 1, 1, 1, 0];;;;
bar number110;[1, 1, 1, 0, 1, 1, 1, 0];;;;
bar number111;[1, 1, 1, 0, 1, 1, 1, 0];;;;
bar number112;[1, 2, 0, 0, 1, 1, 1, 0];;;;
bar number113;[1, 2, 0, 0, 1, 1, 1, 0];;;;
bar number114;[1, 2, 0, 0, 1, 1, 1, 0];;;;
bar number115;[1, 1, 1, 0, 1, 1, 1, 0];;;;
bar number116;[1, 2, 0, 0, 1, 1, 1, 0];;;;
bar number117;[2, 1, 1, 0, 1, 1, 2, 0];;;;
bar number118;[0, 2, 0, 0, 1, 1, 1, 0];;;;
bar number119;[1, 2, 0, 0, 0, 1, 0, 0];;;;
bar number120;[1, 1, 1, 0, 3, 0, 1, 0];;;;
bar number121;[1, 1, 1, 0, 3, 1, 1, 0];;;;
bar number122;[1, 1, 1, 0, 2, 1, 1, 0];;;;
bar number123;[1, 1, 0, 0, 3, 1, 1, 0];;;;
bar number124;[1, 3, 0, 0, 0, 2, 0, 0];;;;
bar number125;[0, 2, 0, 0, 3, 0, 2, 0];;;;
bar number126;[1, 2, 1, 0, 1, 1, 1, 0];;;;
bar number127;[2, 1, 1, 0, 2, 1, 1, 0];;;;
bar number128;[1, 3, 1, 0, 1, 1, 1, 0];;;;
bar number129;[1, 3, 1, 0, 1, 1, 2, 0];;;;
bar number130;[0, 1, 1, 0, 2, 0, 1, 0];;;;
bar number131;[1, 1, 1, 0, 0, 0, 0, 0];;;;
bar number132;[1, 0, 0, 0, 0, 1, 2, 0];;;;
bar number133;[0, 1, 1, 1, 0, 0, 1, 0];;;;
bar number134;[1, 0, 1, 0, 0, 2, 0, 0];;;;
bar number135;[0, 2, 2, 0, 0, 0, 2, 0];;;;
bar number136;[2, 0, 2, 0, 0, 2, 0, 0];;;;
bar number137;[0, 1, 0, 1, 0, 1, 1, 1];;;;
bar number138;[1, 1, 1, 0, 0, 1, 1, 0];;;;
bar number139;[0, 2, 0, 1, 0, 1, 1, 1];;;;
bar number140;[1, 0, 1, 0, 0, 2, 1, 0];;;;
bar number141;[0, 0, 0, 1, 1, 1, 0, 0];;;;
