bar number1,"[1, 0, 1, 0, 1, 0, 0]",I,,,
bar number2,"[1, 0, 1, 0, 1, 0, 0]",I,,,
bar number3,"[1, 0, 0, 0, 0, 0, 1]",I,,,
bar number4,"[0, 1, 0, 0, 0, 0, 0]",,,,
bar number5,"[0, 0, 1, 0, 0, 0, 0]",,,,
bar number6,"[0, 0, 0, 1, 1, 1, 1]",,,,
bar number7,"[1, 0, 0, 0, 1, 1, 1]",I,,,
bar number8,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number9,"[1, 0, 0, 1, 0, 1, 1]",IV,,,
bar number10,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number11,"[0, 1, 0, 1, 1, 0, 1]",V,,,
bar number12,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number13,"[0, 1, 1, 1, 1, 0, 0]",II,,,
bar number14,"[1, 0, 1, 1, 1, 0, 0]",I,,,
bar number15,"[0, 1, 0, 1, 1, 0, 1]",V,,,
bar number16,"[1, 0, 1, 0, 1, 1, 0]",I,VI,,
bar number17,"[1, 0, 0, 1, 1, 1, 0]",IV,X,IV,X
bar number18,"[1, 1, 1, 0, 1, 0, 0]",V,I,,
bar number19,"[1, 1, 1, 0, 1, 0, 0]",V,I,,
bar number20,"[0, 1, 0, 0, 1, 0, 1]",V,,,
bar number21,"[1, 0, 1, 0, 1, 0, 0]",I,,,
bar number22,"[0, 1, 0, 1, 1, 1, 0]",V,,,
bar number23,"[1, 0, 1, 0, 1, 1, 0]",I ,,,
bar number24,"[0, 1, 0, 1, 1, 1, 0]",V,,,
bar number25,"[1, 0, 1, 1, 1, 0, 0]",I,,,
bar number26,"[0, 1, 0, 1, 1, 1, 0]",V,,,
bar number27,"[1, 0, 1, 0, 1, 1, 0]",X,,,
bar number28,"[1, 0, 0, 1, 1, 1, 0]",,,,
bar number29,"[1, 0, 1, 0, 1, 1, 0]",,,,
bar number30,"[1, 0, 0, 1, 0, 1, 1]",,,,
bar number31,"[0, 1, 1, 1, 1, 0, 0]",,,,
bar number32,"[1, 0, 1, 1, 1, 0, 0]",V,,,
bar number33,"[1, 1, 1, 0, 1, 0, 0]",V,,,
bar number34,"[1, 1, 1, 0, 1, 0, 0]",I,V,,
bar number35,"[1, 1, 1, 0, 1, 0, 0]",V,,,
bar number36,"[1, 1, 1, 0, 1, 0, 0]",V,I,V,
bar number37,"[1, 1, 1, 0, 1, 0, 0]",I,V,IV,V
bar number38,"[1, 1, 1, 1, 0, 0, 0]",I,II,,
bar number39,"[1, 1, 1, 0, 1, 0, 0]",V,V,,
bar number40,"[1, 0, 1, 0, 1, 0, 1]",I,,,
bar number41,"[1, 0, 1, 0, 1, 0, 1]",I,,,
bar number42,"[1, 0, 1, 0, 0, 1, 1]",I,,,
bar number43,"[0, 1, 1, 1, 1, 0, 0]",V,,,
bar number44,"[1, 0, 1, 0, 1, 0, 0]",I,,,
bar number45,"[1, 0, 1, 0, 1, 0, 0]",,,,
bar number46,"[1, 0, 0, 0, 0, 0, 1]",,,,
bar number47,"[0, 1, 0, 0, 0, 0, 0]",,,,
bar number48,"[0, 0, 1, 0, 0, 0, 0]",,,,
bar number49,"[0, 0, 0, 1, 1, 1, 1]",,,,
bar number50,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number51,"[0, 1, 1, 0, 1, 0, 1]",V,,,
bar number52,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number53,"[0, 1, 1, 0, 1, 0, 1]",V,,,
bar number54,"[1, 0, 1, 0, 1, 0, 1]",I,,,
bar number55,"[1, 0, 1, 1, 0, 1, 0]",IV,,,
bar number56,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number57,"[0, 0, 1, 1, 1, 1, 0]",II,V,V,
bar number58,"[1, 0, 1, 0, 1, 0, 1]",I,,,
bar number59,"[1, 0, 0, 1, 0, 1, 1]",IV,,,
bar number60,"[1, 1, 1, 0, 1, 0, 0]",I,,,
bar number61,"[1, 1, 1, 0, 1, 0, 0]",V,V,,
bar number62,"[1, 0, 0, 0, 1, 1, 1]",I,VI,,
bar number63,"[0, 1, 1, 1, 0, 1, 0]",IV,,,
bar number64,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number65,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number66,"[0, 1, 0, 0, 1, 0, 1]",,,,
bar number67,"[0, 1, 0, 0, 1, 0, 1]",,,,
bar number68,"[1, 1, 0, 0, 1, 0, 1]",,,,
bar number69,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number70,"[1, 0, 1, 0, 1, 0, 0]",,,,
bar number71,"[0, 1, 1, 0, 1, 1, 0]",,,,
bar number72,"[0, 1, 0, 0, 1, 0, 1]",,,,
bar number73,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number74,"[1, 0, 1, 0, 1, 0, 0]",,,,
bar number75,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number76,"[1, 1, 0, 0, 1, 0, 1]",,,,
bar number77,"[1, 0, 1, 0, 1, 1, 0]",,,,
bar number78,"[1, 1, 0, 0, 0, 1, 0]",,,,
bar number79,"[1, 1, 0, 0, 0, 1, 0]",,,,
bar number80,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number81,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number82,"[1, 1, 0, 0, 0, 1, 1]",,,,
bar number83,"[1, 1, 0, 0, 0, 1, 1]",,,,
bar number84,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number85,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number86,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number87,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number88,"[0, 1, 0, 0, 0, 1, 0]",,,,
bar number89,"[0, 1, 0, 0, 1, 0, 1]",,,,
bar number90,"[1, 1, 1, 0, 0, 1, 0]",,,,
bar number91,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number92,"[1, 1, 1, 0, 0, 1, 0]",,,,
bar number93,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number94,"[1, 1, 1, 0, 0, 1, 0]",,,,
bar number95,"[0, 1, 0, 1, 1, 0, 1]",V,,,
bar number96,"[1, 0, 1, 1, 1, 0, 0]",V,,,
bar number97,"[0, 1, 0, 1, 1, 0, 1]",V,,,
bar number98,"[1, 1, 1, 0, 1, 0, 0]",I,V,,
bar number99,"[1, 1, 0, 0, 1, 0, 1]",I,V,,
bar number100,"[1, 1, 1, 0, 0, 1, 0]",,,,
bar number101,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number102,"[1, 1, 1, 0, 0, 1, 0]",,,,
bar number103,"[1, 1, 0, 0, 1, 0, 1]",,,,
bar number104,"[1, 0, 1, 0, 0, 1, 1]",,,,
bar number105,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number106,"[1, 1, 1, 0, 0, 1, 0]",,,,
bar number107,"[1, 1, 0, 0, 1, 0, 1]",,,,
bar number108,"[1, 1, 0, 0, 1, 0, 1]",,,,
bar number109,"[1, 1, 0, 0, 1, 0, 1]",,,,
bar number110,"[1, 1, 0, 0, 0, 1, 1]",,,,
bar number111,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number112,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number113,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number114,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number115,"[1, 0, 1, 0, 1, 0, 1]",,,,
bar number116,"[1, 1, 0, 0, 0, 1, 1]",,,,
bar number117,"[1, 1, 0, 0, 1, 0, 1]",,,,
bar number118,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number119,"[1, 1, 0, 0, 0, 1, 0]",,,,
bar number120,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number121,"[1, 1, 0, 0, 1, 0, 1]",,,,
bar number122,"[1, 1, 1, 0, 1, 0, 0]",,,,
bar number123,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number124,"[1, 1, 0, 0, 0, 1, 0]",,,,
bar number125,"[0, 1, 0, 0, 1, 0, 1]",,,,
bar number126,"[1, 1, 1, 0, 0, 1, 0]",,,,
bar number127,"[1, 0, 1, 0, 1, 0, 1]",,,,
bar number128,"[1, 1, 0, 0, 0, 1, 1]",,,,
bar number129,"[0, 1, 0, 0, 1, 1, 1]",,,,
bar number130,"[0, 1, 1, 0, 1, 0, 1]",,,,
bar number131,"[1, 1, 1, 0, 0, 0, 0]",,,,
bar number132,"[1, 0, 0, 0, 0, 1, 1]",,,,
bar number133,"[0, 1, 1, 1, 0, 0, 1]",,,,
bar number134,"[1, 0, 1, 0, 0, 1, 0]",,,,
bar number135,"[0, 1, 1, 0, 0, 0, 1]",,,,
bar number136,"[1, 0, 1, 0, 0, 1, 0]",,,,
bar number137,"[0, 1, 1, 0, 0, 1, 1]",,,,
bar number138,"[1, 0, 1, 0, 0, 1, 1]",,,,
bar number139,"[0, 1, 1, 1, 0, 0, 1]",,,,
bar number140,"[1, 0, 1, 0, 0, 1, 1]",,,,
bar number141,"[0, 0, 0, 1, 1, 1, 0]",,,,
bar number142,"[0, 1, 1, 1, 0, 0, 0]",,,,
bar number143,"[0, 0, 1, 0, 1, 1, 0]",,,,
bar number144,"[0, 1, 1, 1, 0, 1, 0]",,,,
bar number145,"[0, 1, 1, 0, 1, 1, 0]",,,,
bar number146,"[0, 1, 1, 1, 0, 1, 0]",,,,
