bar number1,"[2, 0, 1, 0, 1, 0, 0]",I,,,
bar number2,"[2, 0, 1, 0, 1, 0, 0]",I,,,
bar number3,"[3, 0, 0, 0, 0, 0, 1]",I,,,
bar number4,"[0, 3, 0, 0, 0, 0, 0]",,,,
bar number5,"[0, 0, 3, 0, 0, 0, 0]",,,,
bar number6,"[0, 0, 0, 1, 1, 1, 1]",,,,
bar number7,"[3, 0, 0, 0, 1, 1, 1]",I,,,
bar number8,"[3, 1, 1, 0, 1, 0, 0]",I,,,
bar number9,"[3, 0, 0, 1, 0, 1, 1]",IV,,,
bar number10,"[3, 1, 1, 0, 1, 0, 0]",I,,,
bar number11,"[0, 2, 0, 1, 2, 0, 1]",V7,,,
bar number12,"[2, 1, 2, 0, 1, 0, 0]",I,,,
bar number13,"[0, 2, 1, 2, 2, 0, 0]",II,,,
bar number14,"[1, 0, 1, 1, 2, 0, 0]",I,,,
bar number15,"[0, 2, 0, 1, 2, 0, 1]",V7,,,
bar number16,"[2, 0, 2, 0, 1, 1, 0]",I,VI,,
bar number17,"[2, 0, 0, 1, 1, 2, 0]",IV,X,IV,X
bar number18,"[2, 1, 1, 0, 2, 0, 0]",V7,I,,
bar number19,"[2, 1, 1, 0, 2, 0, 0]",V7,I,,
bar number20,"[0, 1, 0, 0, 3, 0, 1]",V,,,
bar number21,"[3, 0, 1, 0, 1, 0, 0]",I,,,
bar number22,"[0, 2, 0, 1, 3, 1, 0]",V7,,,
bar number23,"[2, 0, 2, 0, 1, 1, 0]",I ,,,
bar number24,"[0, 2, 0, 1, 2, 1, 0]",V7,,,
bar number25,"[2, 0, 2, 1, 1, 0, 0]",I,,,
bar number26,"[0, 2, 0, 1, 2, 1, 0]",V7,,,
bar number27,"[3, 0, 1, 0, 1, 1, 0]",X,,,
bar number28,"[3, 0, 0, 1, 1, 1, 0]",,,,
bar number29,"[2, 0, 1, 0, 1, 1, 0]",,,,
bar number30,"[2, 0, 0, 2, 0, 1, 1]",,,,
bar number31,"[0, 2, 2, 2, 1, 0, 0]",,,,
bar number32,"[1, 0, 2, 1, 3, 0, 0]",V,,,
bar number33,"[1, 1, 1, 0, 2, 0, 0]",V7,,,
bar number34,"[2, 1, 2, 0, 2, 0, 0]",I,V,,
bar number35,"[2, 1, 2, 0, 2, 0, 0]",V,,,
bar number36,"[1, 1, 2, 0, 2, 0, 0]",V,I,V,
bar number37,"[1, 1, 2, 0, 2, 0, 0]",I,V,IV,V
