../data/Mozart2/Mozart.mxl;data;Major;Chord;;;
1;[2, 0, 1, 0, 2, 0, 0, 0];C;I;;;
2;[1, 1, 1, 1, 1, 0, 1, 0];  ;V34;I;;
3;[1, 0, 1, 1, 1, 2, 0, 0]; ;IV 46;I;;
4;[1, 1, 1, 1, 2, 0, 1, 0]; ;V56;I;;
5;[1, 1, 1, 2, 1, 1, 1, 0]; ;IV;;;
6;[2, 1, 2, 1, 1, 1, 1, 0]; ;I6;;;
7;[1, 2, 1, 1, 1, 1, 1, 0]; ;II7;V34;;
8;[2, 1, 1, 1, 1, 1, 1, 0]; ;I;;;
9;[0, 1, 1, 3, 1, 3, 1, 0]; ;II6;;;
10;[1, 1, 1, 2, 1, 2, 1, 0]; ;II;V6;;
11;[1, 1, 1, 0, 2, 0, 1, 0];;V;I64;V;I64
12;[0, 1, 0, 0, 3, 0, 1, 0]; ;V;;;
49;[2, 1, 1, 1, 2, 1, 1, 0];Cmaj ;I6;;;
50;[1, 1, 1, 2, 1, 1, 1, 0];;II7;V7;;
51;[2, 1, 2, 1, 1, 1, 1, 0];;I;;;
52;[0, 1, 1, 3, 1, 3, 1, 0];;II6;;;
53;[1, 1, 1, 2, 1, 2, 1, 0];;V6;;;
54;[1, 1, 1, 0, 2, 0, 1, 0];;V;I46;;
55;[0, 1, 0, 0, 3, 0, 1, 0];;V;;;
56;[0, 0, 0, 1, 2, 0, 0, 0];;;;;
57;[1, 1, 2, 0, 2, 0, 0, 0];;I6;;;
58;[1, 1, 1, 1, 1, 0, 1, 0];;V24;;;
59;[1, 1, 2, 0, 2, 0, 0, 0];;I6;;;
60;[1, 1, 1, 1, 1, 0, 1, 0];;V24;;;
61;[1, 0, 1, 1, 1, 1, 0, 0];;I6;IV;;
62;[0, 1, 1, 1, 1, 0, 1, 0];;VII7;III;;
63;[1, 1, 1, 1, 0, 1, 0, 0];;VI6;II;;
64;[1, 1, 1, 0, 1, 0, 1, 0];;V6;I;;
65;[0, 2, 0, 2, 0, 2, 0, 0];;II6;;;
66;[2, 0, 0, 0, 0, 2, 0, 0];;VII7;;;
67;[1, 1, 2, 1, 1, 1, 1, 0];;I46;;;
68;[1, 2, 1, 1, 1, 0, 1, 0];;V7;;;
69;[2, 1, 1, 1, 1, 0, 1, 0];;I;;;
70;[2, 1, 1, 1, 1, 0, 1, 0];;I;V7;;
71;[3, 0, 1, 0, 1, 0, 0, 0];;I;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;V;I46
