../data/Mozart2/Mozart.mxl;data;;;
14;[1, 1, 1, 1, 1, 0, 1, 0];G;I6;
15;[1, 1, 2, 0, 2, 0, 0, 0];;V24;
16;[1, 1, 1, 1, 1, 0, 1, 0];;I6;
17;[1, 0, 1, 1, 1, 1, 0, 0];;V24;
18;[0, 1, 1, 1, 1, 0, 1, 0];;I6;IV
19;[1, 1, 1, 1, 0, 1, 0, 0];;VII6;III
20;[1, 1, 1, 0, 1, 0, 1, 0];;VI6;II
21;[0, 1, 1, 3, 0, 3, 0, 0];;V6;I
22;[0, 2, 1, 3, 0, 2, 0, 0];;II6;
23;[1, 1, 2, 1, 2, 0, 0, 0];;I46;
24;[1, 2, 1, 1, 1, 0, 1, 0];;V7;
25;[2, 1, 1, 1, 1, 0, 1, 0];;I;V7
26;[2, 1, 1, 1, 1, 0, 1, 0];;I;V7
27;[3, 0, 2, 0, 1, 0, 0, 0];;I;
28;[2, 1, 0, 1, 1, 0, 1, 0];;I;
