../data/Mozart2/Mozart;data;Chord;;;
0; [[0.62, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.12, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];I;I;;
1; [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5], [0.12, 0.0, 0.12, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25], [0.5, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]];V;I;I;
2; [[0.12, 0.0, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0], [0.38, 0.0, 0.0, 0.0, 0.12, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];IV;I;;
3; [[0.0, 0.0, 0.11, 0.0, 0.06, 0.22, 0.0, 0.5, 0.0, 0.0, 0.0, 0.11], [0.17, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]];V;I;;
4; [[0.08, 0.0, 0.08, 0.0, 0.08, 0.42, 0.0, 0.08, 0.0, 0.17, 0.0, 0.08], [0.31, 0.0, 0.06, 0.0, 0.06, 0.31, 0.0, 0.06, 0.0, 0.12, 0.0, 0.06]];IV;IV;;
5; [[0.31, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.12, 0.0, 0.06, 0.0, 0.06], [0.31, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.12, 0.0, 0.06, 0.0, 0.06]];I;I;;
6; [[0.31, 0.0, 0.31, 0.0, 0.06, 0.12, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06], [0.06, 0.0, 0.31, 0.0, 0.06, 0.12, 0.0, 0.06, 0.0, 0.06, 0.0, 0.31]];II;V;;
7; [[0.56, 0.0, 0.06, 0.0, 0.12, 0.06, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06], [0.31, 0.0, 0.06, 0.0, 0.38, 0.06, 0.0, 0.06, 0.0, 0.06, 0.0, 0.06]];I;I;;
8; [[0.0, 0.04, 0.08, 0.0, 0.04, 0.38, 0.0, 0.04, 0.0, 0.38, 0.0, 0.04], [0.0, 0.12, 0.25, 0.0, 0.12, 0.12, 0.0, 0.12, 0.0, 0.12, 0.0, 0.12]];II;II;;
9; [[0.06, 0.0, 0.0, 0.0, 0.06, 0.44, 0.0, 0.19, 0.0, 0.12, 0.0, 0.12], [0.06, 0.0, 0.06, 0.0, 0.06, 0.12, 0.12, 0.12, 0.0, 0.44, 0.0, 0.0]];II;V;;
10; [[0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.38], [0.38, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.19, 0.0, 0.19, 0.0, 0.19, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.06]];V;I;I;
11; [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.62, 0.0, 0.0, 0.0, 0.12]];V;;;
12; [[0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]];;;;
13; [[0.25, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.19, 0.0, 0.31, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]];I;I;;
14; [[0.17, 0.0, 0.13, 0.0, 0.11, 0.11, 0.0, 0.3, 0.0, 0.0, 0.0, 0.19]];V;;;
15; [[0.25, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.19, 0.0, 0.31, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]];I;I;;
16; [[0.17, 0.0, 0.13, 0.0, 0.11, 0.11, 0.0, 0.3, 0.0, 0.0, 0.0, 0.19]];V;;;
17; [[0.14, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0], [0.14, 0.0, 0.0, 0.0, 0.71, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0], [0.14, 0.0, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]];I6;IV;;
18; [[0.0, 0.0, 0.14, 0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.71, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.14]];VII6;III;;
19; [[0.14, 0.0, 0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0], [0.71, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0], [0.0, 0.0, 0.36, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0]];VI6;II;;
20; [[0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.14], [0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.71], [0.43, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0]];V6;I;;
21; [[0.0, 0.0, 0.17, 0.0, 0.02, 0.4, 0.0, 0.0, 0.02, 0.4, 0.0, 0.0]];II6;;;
22; [[0.0, 0.08, 0.25, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.0, 0.04, 0.25, 0.0, 0.04, 0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.0, 0.0, 0.17, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0]];I46;;;
23; [[0.25, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0], [0.19, 0.0, 0.06, 0.0, 0.31, 0.06, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0]];V7;;;
24; [[0.0, 0.0, 0.5, 0.0, 0.17, 0.17, 0.0, 0.08, 0.0, 0.0, 0.0, 0.08], [0.0, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12], [0.03, 0.0, 0.25, 0.0, 0.22, 0.25, 0.0, 0.12, 0.0, 0.0, 0.0, 0.12]];I;V7;;
25; [[0.62, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.0, 0.1, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;V7;;
26; [[0.62, 0.0, 0.0, 0.0, 0.31, 0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 0.0], [0.05, 0.0, 0.3, 0.0, 0.1, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.05]];I;;;
