../data/Mozart4/Mozart4,data
0," [[0.1, 0.0, 0.05, 0.5, 0.0, 0.05, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0]]"
1," [[0.1, 0.0, 0.0, 0.3, 0.0, 0.0, 0.05, 0.5, 0.05, 0.0, 0.0, 0.0]]"
2," [[0.4, 0.0, 0.1, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.1], [0.4, 0.0, 0.1, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.1]]"
3," [[0.2, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0], [0.17, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]]"
4," [[0.14, 0.0, 0.29, 0.0, 0.0, 0.0, 0.0, 0.36, 0.0, 0.14, 0.07, 0.0]]"
5," [[0.14, 0.0, 0.29, 0.0, 0.0, 0.0, 0.0, 0.36, 0.0, 0.14, 0.07, 0.0]]"
6," [[0.08, 0.0, 0.33, 0.0, 0.0, 0.0, 0.08, 0.25, 0.0, 0.17, 0.08, 0.0]]"
7," [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]]"
8," [[0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0]]"
9," [[0.05, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.45, 0.05, 0.0, 0.25, 0.0]]"
10," [[0.0, 0.0, 0.1, 0.1, 0.0, 0.3, 0.0, 0.1, 0.1, 0.0, 0.3, 0.0]]"
11," [[0.05, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.45, 0.05, 0.0, 0.25, 0.0]]"
12," [[0.1, 0.0, 0.3, 0.1, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]"
13," [[0.2, 0.0, 0.0, 0.45, 0.0, 0.05, 0.0, 0.25, 0.05, 0.0, 0.0, 0.0]]"
14," [[0.1, 0.0, 0.3, 0.1, 0.0, 0.1, 0.0, 0.3, 0.0, 0.0, 0.0, 0.1]]"
15," [[0.2, 0.0, 0.0, 0.45, 0.0, 0.05, 0.0, 0.25, 0.05, 0.0, 0.0, 0.0]]"
16," [[0.12, 0.0, 0.31, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.31]]"
17," [[0.1, 0.0, 0.05, 0.5, 0.0, 0.05, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0]]"
18," [[0.1, 0.0, 0.0, 0.3, 0.0, 0.0, 0.05, 0.5, 0.05, 0.0, 0.0, 0.0]]"
19," [[0.4, 0.0, 0.1, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.1], [0.4, 0.0, 0.1, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.1]]"
20," [[0.36, 0.0, 0.09, 0.18, 0.0, 0.0, 0.27, 0.0, 0.09, 0.0, 0.0, 0.0]]"
21," [[0.2, 0.0, 0.2, 0.2, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0], [0.2, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2]]"
22," [[0.4, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2, 0.0, 0.0, 0.4, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0]]"
23," [[0.33, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0], [0.03, 0.0, 0.33, 0.1, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.27]]"
24," [[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
25," [[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
26," [[0.5, 0.0, 0.17, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
27," [[0.5, 0.0, 0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17]]"
28," [[0.17, 0.0, 0.17, 0.0, 0.0, 0.17, 0.17, 0.0, 0.0, 0.17, 0.0, 0.17]]"
29," [[0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.17]]"
30," [[0.5, 0.0, 0.17, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
31," [[0.5, 0.0, 0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17]]"
32," [[0.0, 0.0, 0.17, 0.0, 0.0, 0.17, 0.0, 0.33, 0.0, 0.17, 0.0, 0.17]]"
33," [[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
34," [[0.0, 0.0, 0.25, 0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
35," [[0.4, 0.0, 0.1, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.1], [0.42, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.17, 0.0, 0.08]]"
36," [[0.0, 0.0, 0.27, 0.0, 0.36, 0.0, 0.05, 0.0, 0.14, 0.05, 0.0, 0.14]]"
37," [[0.36, 0.0, 0.05, 0.0, 0.27, 0.0, 0.0, 0.0, 0.05, 0.18, 0.0, 0.09]]"
38," [[0.0, 0.0, 0.0, 0.2, 0.4, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2], [0.0, 0.0, 0.08, 0.0, 0.5, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33]]"
39," [[0.4, 0.0, 0.1, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.1], [0.42, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.17, 0.0, 0.08]]"
40," [[0.0, 0.0, 0.0, 0.0, 0.36, 0.0, 0.05, 0.41, 0.0, 0.05, 0.0, 0.14]]"
41," [[0.0, 0.0, 0.0, 0.09, 0.05, 0.0, 0.41, 0.05, 0.0, 0.32, 0.0, 0.09]]"
