../data/Mozart4/Mozart4,key value
0, a minor
1, a minor
2, a minor
3, a minor
4, e minor
5, e minor
6, e minor
7, C major
8, C major
9, C major
10, C major
11, C major
12, a minor
13, a minor
14, a minor
15, a minor
16, a minor
17, a minor
18, a minor
19, a minor
20, a minor
21, a minor
22, a minor
23, a minor
24, D major
25, f# minor
26, f# minor
27, f# minor
28, E major
29, A major
30, f# minor
31, E major
32, D major
33, D major
34, f# minor
35, f# minor
36, f# minor
37, f# minor
38, f# minor
39, A major
40, c# minor
41, c# minor
42, A major
43, A major
44, A major
45, A major
46, A major
47, A major
