../data/Von/Von;data;Value;
0; [[0.33, 0.0, 0.0, 0.0, 0.53, 0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0], [0.53, 0.0, 0.0, 0.13, 0.0, 0.0, 0.2, 0.0, 0.0, 0.13, 0.0, 0.0]];I;VII
1; [[0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.1, 0.0, 0.43], [0.0, 0.0, 0.13, 0.0, 0.0, 0.13, 0.0, 0.53, 0.0, 0.0, 0.0, 0.2]];V;V56
2; [[0.33, 0.0, 0.0, 0.0, 0.53, 0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0], [0.53, 0.0, 0.0, 0.13, 0.0, 0.0, 0.2, 0.0, 0.0, 0.13, 0.0, 0.0]];I;VII
3; [[0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.1, 0.0, 0.43], [0.0, 0.0, 0.13, 0.0, 0.0, 0.13, 0.0, 0.53, 0.0, 0.0, 0.0, 0.2]];V;V56
4; [[0.33, 0.0, 0.0, 0.0, 0.53, 0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0], [0.72, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0]];I;I6
5; [[0.39, 0.0, 0.0, 0.0, 0.0, 0.17, 0.0, 0.08, 0.0, 0.36, 0.0, 0.0], [0.27, 0.0, 0.0, 0.0, 0.0, 0.53, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0]];IV;IV6
6; [[0.13, 0.0, 0.2, 0.0, 0.0, 0.13, 0.0, 0.4, 0.0, 0.0, 0.0, 0.13]];V7sus4;V7
7; [[0.4, 0.0, 0.0, 0.0, 0.53, 0.0, 0.0, 0.07, 0.0, 0.0, 0.0, 0.0]];I;
8; [[0.25, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.42, 0.0, 0.0], [0.0, 0.0, 0.67, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0]];VI;IV
9; [[0.0, 0.0, 0.33, 0.0, 0.0, 0.06, 0.0, 0.35, 0.0, 0.0, 0.0, 0.25], [0.33, 0.0, 0.0, 0.0, 0.58, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0]];V;I6
10; [[0.25, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.42, 0.0, 0.0, 0.0], [0.25, 0.0, 0.42, 0.0, 0.0, 0.25, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0]];VI;IIo7
11; [[0.0, 0.0, 0.17, 0.33, 0.0, 0.03, 0.0, 0.18, 0.0, 0.0, 0.17, 0.13]];V;III
12; [[0.11, 0.0, 0.0, 0.0, 0.0, 0.56, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.0, 0.0, 0.11, 0.0, 0.0, 0.33, 0.0, 0.22, 0.0, 0.0, 0.0, 0.33]];IV;V2
13; [[0.36, 0.0, 0.17, 0.0, 0.25, 0.0, 0.0, 0.22, 0.0, 0.0, 0.0, 0.0], [0.44, 0.0, 0.11, 0.0, 0.25, 0.08, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0]];I6;I
14; [[0.33, 0.0, 0.0, 0.0, 0.13, 0.0, 0.0, 0.53, 0.0, 0.0, 0.0, 0.0], [0.53, 0.0, 0.0, 0.13, 0.0, 0.0, 0.2, 0.0, 0.0, 0.13, 0.0, 0.0]];I;VIIo7
15; [[0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.1, 0.0, 0.43], [0.0, 0.0, 0.13, 0.0, 0.0, 0.13, 0.0, 0.53, 0.0, 0.0, 0.0, 0.2]];V;V56
16; [[0.33, 0.0, 0.0, 0.0, 0.53, 0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0], [0.53, 0.0, 0.0, 0.13, 0.0, 0.0, 0.2, 0.0, 0.0, 0.13, 0.0, 0.0]];I;VIIo7
17; [[0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.1, 0.0, 0.43], [0.0, 0.0, 0.13, 0.0, 0.0, 0.13, 0.0, 0.53, 0.0, 0.0, 0.0, 0.2]];V;V56
18; [[0.33, 0.0, 0.0, 0.0, 0.53, 0.0, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0], [0.72, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0]];I;I6
19; [[0.39, 0.0, 0.0, 0.0, 0.0, 0.17, 0.0, 0.08, 0.0, 0.36, 0.0, 0.0], [0.27, 0.0, 0.0, 0.0, 0.0, 0.53, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0]];IV;IV6
20; [[0.13, 0.0, 0.2, 0.0, 0.0, 0.13, 0.0, 0.4, 0.0, 0.0, 0.0, 0.13]];V7SUS4;V7
;;I;
