../data/thehf/thehf;data;Chord;;;;
0; [[0.6, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0], [0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0], [0.3, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];I;I46;;;
1; [[0.2, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0], [0.2, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];IV;I46;;;
2; [[0.0, 0.0, 0.08, 0.0, 0.0, 0.38, 0.0, 0.31, 0.0, 0.0, 0.0, 0.23], [0.31, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.0]];V7;I;;;
3; [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5], [0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.4, 0.0, 0.0], [0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.25]];V6;V;;;
4; [[0.6, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0], [0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0], [0.3, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];I;I46;;;
5; [[0.2, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0], [0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0], [0.2, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];IV;I46;;;
6; [[0.0, 0.0, 0.08, 0.0, 0.0, 0.38, 0.0, 0.31, 0.0, 0.0, 0.0, 0.23], [0.31, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.0]];V7;I;;;
7; [[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5], [0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.4, 0.0, 0.0], [0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.2]];V6;V;V;;
8; [[0.0, 0.0, 0.33, 0.0, 0.0, 0.33, 0.0, 0.17, 0.0, 0.0, 0.0, 0.17], [0.17, 0.0, 0.17, 0.0, 0.17, 0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.17], [0.0, 0.0, 0.25, 0.0, 0.0, 0.17, 0.0, 0.33, 0.0, 0.0, 0.0, 0.25]];V34;I;V56 ;V;
9; [[0.2, 0.0, 0.2, 0.0, 0.2, 0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0], [0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.17, 0.17, 0.0, 0.17, 0.0, 0.17], [0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.3]];II ;I ;V6;V6;
10; [[0.67, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];I;I46;;;V
11; [[0.17, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.18, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0]];IV;I46;;;
12; [[0.0, 0.0, 0.08, 0.0, 0.0, 0.38, 0.0, 0.31, 0.0, 0.0, 0.0, 0.23], [0.31, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.0]];V7;I;;;
13; [[0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.08, 0.0, 0.17], [0.5, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0]];II6;V7;I;V;
14; [[0.0, 0.0, 0.33, 0.0, 0.0, 0.33, 0.0, 0.17, 0.0, 0.0, 0.0, 0.17], [0.17, 0.0, 0.17, 0.0, 0.17, 0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.17], [0.0, 0.0, 0.25, 0.0, 0.0, 0.17, 0.0, 0.33, 0.0, 0.0, 0.0, 0.25]];V34;I;V56 ;V;
15; [[0.2, 0.0, 0.2, 0.0, 0.2, 0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0], [0.17, 0.0, 0.17, 0.0, 0.0, 0.0, 0.17, 0.17, 0.0, 0.17, 0.0, 0.17], [0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.3]];II;I;V6;V6;
16; [[0.67, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0], [0.33, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]];I;I46;;;V
17; [[0.17, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0], [0.18, 0.0, 0.0, 0.0, 0.27, 0.0, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0]];IV;I46;;;
18; [[0.0, 0.0, 0.08, 0.0, 0.0, 0.38, 0.0, 0.31, 0.0, 0.0, 0.0, 0.23], [0.31, 0.0, 0.0, 0.0, 0.38, 0.0, 0.0, 0.31, 0.0, 0.0, 0.0, 0.0]];V7;I;;;
19; [[0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.08, 0.0, 0.17], [0.6, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0]];II6;V;I;;
