1（Gmaj）," [0.52, 0.0, 0.0, 0.08, 0.32, 0.0, 0.12, 0.08, 0.0, 0.08, 0.0, 0.0]",I,VII
2," [0.0, 0.0, 0.13, 0.0, 0.0, 0.07, 0.0, 0.43, 0.0, 0.05, 0.0, 0.32]",V,V56
3," [0.52, 0.0, 0.0, 0.08, 0.32, 0.0, 0.12, 0.08, 0.0, 0.08, 0.0, 0.0]",I,VII
4," [0.0, 0.0, 0.13, 0.0, 0.0, 0.07, 0.0, 0.43, 0.0, 0.05, 0.0, 0.32]",V,V56
5," [0.55, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0]",I,I6
6," [0.33, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.05, 0.0, 0.29, 0.0, 0.0]",IV,IV6
7," [0.13, 0.0, 0.2, 0.0, 0.0, 0.13, 0.0, 0.4, 0.0, 0.0, 0.0, 0.13]",V7,V7
8," [0.4, 0.0, 0.0, 0.0, 0.53, 0.0, 0.0, 0.07, 0.0, 0.0, 0.0, 0.0]",I,
9," [0.13, 0.0, 0.33, 0.0, 0.17, 0.13, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]",VI,IV
10," [0.17, 0.0, 0.17, 0.0, 0.29, 0.03, 0.0, 0.22, 0.0, 0.0, 0.0, 0.13]",V,I6
11（Emin）," [0.17, 0.0, 0.13, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.21]",VI,IIo7
12," [0.38, 0.0, 0.04, 0.0, 0.2, 0.0, 0.0, 0.19, 0.14, 0.0, 0.0, 0.19]",V,III
13(Gmaj)," [0.06, 0.0, 0.06, 0.0, 0.0, 0.44, 0.0, 0.11, 0.0, 0.17, 0.0, 0.17]",IV,V2
14," [0.4, 0.0, 0.14, 0.0, 0.25, 0.04, 0.0, 0.17, 0.0, 0.0, 0.0, 0.0]",I,I
15," [0.52, 0.0, 0.0, 0.08, 0.08, 0.0, 0.12, 0.32, 0.0, 0.08, 0.0, 0.0]",I,VIIo7
16," [0.0, 0.0, 0.13, 0.0, 0.0, 0.07, 0.0, 0.43, 0.0, 0.05, 0.0, 0.32]",V,V56
17," [0.52, 0.0, 0.0, 0.08, 0.32, 0.0, 0.12, 0.08, 0.0, 0.08, 0.0, 0.0]",I,VIIo7
18," [0.0, 0.0, 0.13, 0.0, 0.0, 0.07, 0.0, 0.43, 0.0, 0.05, 0.0, 0.32]",V,V56
19," [0.55, 0.0, 0.0, 0.0, 0.33, 0.0, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0]",I,I6
20," [0.33, 0.0, 0.0, 0.0, 0.0, 0.33, 0.0, 0.05, 0.0, 0.29, 0.0, 0.0]",IV,IV6
21," [0.13, 0.0, 0.2, 0.0, 0.0, 0.13, 0.0, 0.4, 0.0, 0.0, 0.0, 0.13]",V7,V7
22," [0.31, 0.0, 0.0, 0.0, 0.42, 0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.0]",I,
